method,h,value,exact,abs_error
central,0.5,0.006014091366927543,0.2429079135565111,0.23689382218958355
central,0.25,0.18376284015686117,0.2429079135565111,0.05914507339964992
central,0.125,0.22812731781694318,0.2429079135565111,0.014780595739567914
central,0.0625,0.2392131312426642,0.2429079135565111,0.0036947823138469005
central,0.03125,0.2419842410806332,0.2429079135565111,0.0009236724758778792
central,0.015625,0.24267699688440558,0.2429079135565111,0.00023091667210550781
backward2,0.5,0.5401156688981249,0.2429079135565111,0.2972077553416138
backward2,0.25,0.33787289123032993,0.2429079135565111,0.09496497767381884
backward2,0.125,0.26949681988907415,0.2429079135565111,0.026588906332563056
backward2,0.0625,0.2499233312249416,0.2429079135565111,0.007015417668430501
backward2,0.03125,0.2447083605421554,0.2429079135565111,0.0018004469856442995
backward2,0.015625,0.2433638776826612,0.2429079135565111,0.0004559641261501213
richardson(central),0.5,0.24301242308683904,0.2429079135565111,0.00010450953032795085
richardson(central),0.25,0.2429154770369705,0.2429079135565111,7.5634804594104654e-06
richardson(central),0.125,0.2429084023845712,0.2429079135565111,4.88828060113411e-07
richardson(central),0.0625,0.24290794435995622,0.2429079135565111,3.0803445127958184e-08
richardson(central),0.03125,0.24290791548566304,0.2429079135565111,1.9291519492981024e-09
richardson(central),0.015625,0.24290791367713638,0.2429079135565111,1.206252875363134e-10
