Char,Stroke,Downsample,Method,Mean_Err,Max_Err
T,1,1,Cubic_Natural,0.00594574507617983,0.013377926421404673
T,1,1,Cubic_Clamped,0.00594574507617983,0.013377926421404673
T,1,1,BSpline_Quad,0.005945745076179855,0.013377926421403785
T,1,1,BSpline_Cubic,0.0059457450761801756,0.013377926421403785
T,1,2,Cubic_Natural,0.00594574507617983,0.013377926421404673
T,1,2,Cubic_Clamped,0.00594574507617983,0.013377926421404673
T,1,2,BSpline_Quad,0.005945745076179855,0.013377926421403785
T,1,2,BSpline_Cubic,0.005945745076179781,0.013377926421403785
T,1,3,Cubic_Natural,0.00594574507617983,0.013377926421404673
T,1,3,Cubic_Clamped,0.00594574507617983,0.013377926421404673
T,1,3,BSpline_Quad,0.005945745076179583,0.013377926421404673
T,1,3,BSpline_Cubic,0.005945745076179904,0.013377926421403785
T,2,1,Cubic_Natural,0.005834262356001547,0.01438127090301089
T,2,1,Cubic_Clamped,0.005834262356001547,0.01438127090301089
T,2,1,BSpline_Quad,0.00583426235600114,0.01438127090301089
T,2,1,BSpline_Cubic,0.005834262356001855,0.014381270903011334
T,2,2,Cubic_Natural,0.0058342623560013246,0.014381270903010002
T,2,2,Cubic_Clamped,0.005834262356001337,0.014381270903010002
T,2,2,BSpline_Quad,0.005834262356001814,0.014381270903009558
T,2,2,BSpline_Cubic,0.005834262356001362,0.014381270903010446
T,2,3,Cubic_Natural,0.005834262356001275,0.014381270903010002
T,2,3,Cubic_Clamped,0.005834262356001386,0.014381270903010002
T,2,3,BSpline_Quad,0.005834262356001239,0.014381270903010446
T,2,3,BSpline_Cubic,0.005834262356001189,0.014381270903010002
O,1,1,Cubic_Natural,0.01970759034632083,0.04203493769767863
O,1,1,BSpline_Quad,0.0195527133702303,0.04168311212839346
O,1,1,BSpline_Cubic,0.019707590346320938,0.04203493769767863
O,1,2,Cubic_Natural,0.023375504981760456,0.0445648882381851
O,1,2,BSpline_Quad,0.027380877026377638,0.050713163332919114
O,1,2,BSpline_Cubic,0.023375504981760605,0.044564888238183525
O,1,3,Cubic_Natural,0.029101842879330743,0.057766151566963145
O,1,3,BSpline_Quad,0.03806046616284159,0.0803937221831448
O,1,3,BSpline_Cubic,0.029101842879330018,0.05776615156696003
Z,1,1,Cubic_Natural,0.01926454816893583,0.047349360435060876
Z,1,1,Cubic_Clamped,0.019264309652528216,0.047349345554398105
Z,1,1,BSpline_Quad,0.01910302449601347,0.045108081851549534
Z,1,1,BSpline_Cubic,0.019265478646056065,0.04734945662377526
Z,1,2,Cubic_Natural,0.06670024450588913,0.2779009079910106
Z,1,2,Cubic_Clamped,0.06657206393119355,0.2779442787451606
Z,1,2,BSpline_Quad,0.05737396517114726,0.27557549932789005
Z,1,2,BSpline_Cubic,0.0689708193857902,0.2776897594162084
Z,1,3,Cubic_Natural,0.2106637096393553,1.50036848157801
Z,1,3,Cubic_Clamped,0.20498330348813323,1.5006891961912991
Z,1,3,BSpline_Quad,0.20039251290433469,1.4987050320362454
Z,1,3,BSpline_Cubic,0.24366208894356095,1.4991589800423157
