t_min,h_m,v_open
0.000000000000000000e+00,2.009934283060224869e-01,9.898716887966557687e-01
2.000000000000000000e+00,2.703413433577551150e-01,9.969678262609095176e-01
4.000000000000000000e+00,3.365145694259085163e-01,9.377519675405205923e-01
6.000000000000000000e+00,3.883416454738924939e-01,7.388434882638610368e-01
8.000000000000000000e+00,4.090585645246581081e-01,5.267944061664072697e-01
1.000000000000000000e+01,4.149686206269557753e-01,3.993503598251419429e-01
1.200000000000000000e+01,4.184445626426928633e-01,3.783153000301059943e-01
1.400000000000000000e+01,4.159692343483115673e-01,3.653560606874909911e-01
1.600000000000000000e+01,4.130709952974502830e-01,3.783334883605662946e-01
1.800000000000000000e+01,4.149858747430200667e-01,3.868044785536110530e-01
2.000000000000000000e+01,4.129727420379504244e-01,3.746350696620953658e-01
2.200000000000000000e+01,4.129817655825058775e-01,3.898845552137074066e-01
2.400000000000000000e+01,4.144043736622787799e-01,3.800534341150743622e-01
2.600000000000000000e+01,4.100958492248075182e-01,3.831100586539882835e-01
2.800000000000000000e+01,4.104726465330310048e-01,3.800017707295132996e-01
3.000000000000000000e+01,4.127976886790708511e-01,4.045416775430546452e-01
